"Longitude","Latitude"
-959860.000000001,-2899205
-959860,-2919205
-939859.999999999,-2899204.99999999
-69859.9999999971,-2849205
40140.0000000007,-2519205
70140.0000000009,-2579205
70140.0000000006,-2599205.00000001
80139.9999999988,-2599205
90139.9999999991,-2589205
120139.999999999,-2799205
120140.000000002,-2819205
120140.000000002,-2849205
130140,-2539205
130140.000000001,-2579205
140140.000000001,-2579205
140139.999999999,-2929205
160139.999999999,-2519205
180140,-2649205
180140.000000001,-3029205
190140,-2549205
190139.999999999,-2469205
200140,-2839205
210140,-2959205
210140,-3009205
210140.000000001,-2479205
210139.999999999,-3129205
220139.999999999,-2839205
220140,-2989205
220140.000000002,-3199204.99999999
220140.000000001,-2819205
230140,-2689205
220140.000000001,-3039205
230139.999999999,-3059205
230140,-2799205
230140.000000003,-3039204.99999999
240140,-3039205
250140,-2799204.99999999
240140.000000001,-3059204.99999999
250139.999999999,-3129205
270139.999999999,-2849205
260140,-3159205
270139.999999999,-2969205
290140,-2639205
280139.999999999,-3049205
290140.000000001,-2839204.99999999
280140.000000001,-3169205
300140,-3019205
340139.999999999,-2989205
350140.000000002,-3379205
380140,-3159205
390140.000000001,-3129205
390140.000000002,-3099205
580140,-3279205
830140.000000001,-2919205
940140.000000001,-2619205
890140,-3509205
950140,-3199205
970140,-3449205
1030140,-3309205
1280140,-3469205
